[34m[1mdetect: [0mweights=['/kaggle/working/yolov5/detection/car-detection/weights/best.pt'], source=/kaggle/input/video-data/traffic_test.mp4, data=data/coco128.yaml, imgsz=[640, 640], conf_thres=0.25, iou_thres=0.45, max_det=1000, device=, view_img=False, save_txt=False, save_format=0, save_csv=False, save_conf=False, save_crop=False, nosave=False, classes=None, agnostic_nms=False, augment=False, visualize=False, update=False, project=detection, name=traffic_test_inference, exist_ok=True, line_thickness=3, hide_labels=False, hide_conf=False, half=False, dnn=False, vid_stride=1
YOLOv5 🚀 v7.0-421-g79c4c31d Python-3.11.11 torch-2.6.0+cu124 CUDA:0 (Tesla T4, 15095MiB)

Fusing layers... 
Model summary: 157 layers, 7015519 parameters, 0 gradients, 15.8 GFLOPs
video 1/1 (48/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 6 not-cars, 7.5ms
video 1/1 (49/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 7 not-cars, 7.5ms
video 1/1 (50/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 5 not-cars, 7.5ms
video 1/1 (51/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 5 not-cars, 7.5ms
video 1/1 (52/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 6 not-cars, 7.5ms
video 1/1 (53/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 6 not-cars, 7.3ms
video 1/1 (54/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 6 not-cars, 7.3ms
video 1/1 (55/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 8 not-cars, 7.3ms
video 1/1 (56/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 8 not-cars, 7.3ms
video 1/1 (57/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 8 not-cars, 7.3ms
video 1/1 (58/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 7 not-cars, 7.3ms
video 1/1 (59/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 8 not-cars, 7.4ms
video 1/1 (60/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 9 not-cars, 7.3ms
video 1/1 (61/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 9 not-cars, 7.3ms
video 1/1 (62/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 8 not-cars, 7.4ms
video 1/1 (63/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 6 not-cars, 7.4ms
video 1/1 (64/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 6 not-cars, 7.3ms
video 1/1 (65/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 7 not-cars, 7.3ms
video 1/1 (66/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 7 not-cars, 7.4ms
video 1/1 (67/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 8 not-cars, 7.5ms
video 1/1 (68/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 9 not-cars, 7.4ms
video 1/1 (69/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 9 not-cars, 7.4ms
video 1/1 (70/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 8 not-cars, 7.4ms
video 1/1 (71/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 11 not-cars, 7.3ms
video 1/1 (72/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 10 not-cars, 7.3ms
video 1/1 (73/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 6 not-cars, 7.7ms
video 1/1 (74/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 8 not-cars, 7.4ms
video 1/1 (75/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 7 not-cars, 7.4ms
video 1/1 (76/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 9 not-cars, 7.7ms
video 1/1 (77/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 9 not-cars, 7.4ms
video 1/1 (78/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 7 not-cars, 7.3ms
video 1/1 (79/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 6 not-cars, 7.4ms
video 1/1 (80/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 7 not-cars, 7.3ms
video 1/1 (81/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 7 not-cars, 7.3ms
video 1/1 (82/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 7 not-cars, 7.3ms
video 1/1 (83/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 9 not-cars, 7.3ms
video 1/1 (84/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 8 not-cars, 7.3ms
video 1/1 (85/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 8 not-cars, 7.6ms
video 1/1 (86/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 9 not-cars, 7.3ms
video 1/1 (87/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 9 not-cars, 7.3ms
video 1/1 (88/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 9 not-cars, 7.3ms
video 1/1 (89/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 9 not-cars, 7.4ms
video 1/1 (90/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 9 not-cars, 7.3ms
video 1/1 (91/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 12 not-cars, 7.4ms
video 1/1 (92/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 12 not-cars, 7.3ms
video 1/1 (93/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 12 not-cars, 7.3ms
video 1/1 (94/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 10 not-cars, 7.3ms
video 1/1 (95/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 12 not-cars, 7.3ms
video 1/1 (96/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 13 not-cars, 7.3ms
video 1/1 (97/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 13 not-cars, 7.3ms
video 1/1 (98/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 11 not-cars, 7.4ms
video 1/1 (99/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 11 not-cars, 7.3ms
video 1/1 (100/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 12 not-cars, 7.4ms
video 1/1 (101/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 13 not-cars, 7.3ms
video 1/1 (102/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 13 not-cars, 7.4ms
video 1/1 (103/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 15 not-cars, 7.9ms
video 1/1 (104/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 14 not-cars, 7.4ms
video 1/1 (105/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 15 not-cars, 7.3ms
video 1/1 (106/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 16 not-cars, 7.3ms
video 1/1 (107/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 14 not-cars, 7.6ms
video 1/1 (108/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 13 not-cars, 7.5ms
video 1/1 (109/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 14 not-cars, 7.3ms
video 1/1 (110/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 16 not-cars, 7.4ms
video 1/1 (111/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 15 not-cars, 7.4ms
video 1/1 (112/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 14 not-cars, 7.4ms
video 1/1 (113/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 11 not-cars, 7.3ms
video 1/1 (114/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 11 not-cars, 7.4ms
video 1/1 (115/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 12 not-cars, 7.6ms
video 1/1 (116/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 11 not-cars, 7.3ms
video 1/1 (117/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 11 not-cars, 7.3ms
video 1/1 (118/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 11 not-cars, 7.3ms
video 1/1 (119/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 11 not-cars, 7.5ms
video 1/1 (120/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 11 not-cars, 7.3ms
video 1/1 (121/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 11 not-cars, 7.3ms
video 1/1 (122/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 12 not-cars, 7.3ms
video 1/1 (123/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 12 not-cars, 7.3ms
video 1/1 (124/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 11 not-cars, 7.3ms
video 1/1 (125/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 12 not-cars, 7.3ms
video 1/1 (126/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 13 not-cars, 7.3ms
